Transaction ID,Date,Currency,Sender,Receiver,Amount,Fee,Type,Amount Value,Fee Value,Currency Type From Amount
TX001,01/05/2023,Auric,John Goldsmith,Sarah Gilded,100 Auric,2 Auric,Purchase,100,2,Auric
TX002,02/05/2023,Electra,Olivia Current,Ethan Charge,500 Electra,10 Electra,Transfer,500,10,Electra
TX003,03/05/2023,Zentia,Ava Zenith,Leo Zenith,200 Zentia,5 Zentia,Payment,200,5,Zentia
TX004,05/05/2023,Lumina,Luna Radiance,Sol Bright,50 Lumina,1 Lumina,Purchase,50,1,Lumina
TX005,06/05/2023,Auric,Michael Goldsmith,Emma Gilded,75 Auric,2 Auric,Transfer,75,2,Auric
TX006,08/05/2023,Zentia,Mia Zenith,Noah Zenith,150 Zentia,3 Zentia,Payment,150,3,Zentia
TX007,09/05/2023,Electra,Sophia Current,Jackson Charge,250 Electra,5 Electra,Purchase,250,5,Electra
TX008,10/05/2023,Lumina,Aurora Radiance,Nova Bright,30 Lumina,1 Lumina,Transfer,30,1,Lumina
TX009,12/05/2023,Auric,William Goldsmith,Emily Gilded,80 Auric,2 Auric,Payment,80,2,Auric
TX010,14/05/2023,Zentia,Liam Zenith,Ava Zenith,100 Zentia,4 Zentia,Purchase,100,4,Zentia
TX011,14/02/2023,Auric,Jeffrey Moore,John Williamson,501 Auric,9 Auric,Payment,501,9,Auric
TX012,10/06/2023,Auric,Greg Walker,Steven Key,341 Auric,25 Auric,Transfer,341,25,Auric
TX013,05/05/2023,Electra,Alan Johnson,Susan Hicks,30 Electra,45 Electra,Payment,30,45,Electra
TX014,24/01/2023,Lumina,Emily Brown,Seth Rivera,135 Lumina,43 Lumina,Payment,135,43,Lumina
TX015,31/01/2023,Lumina,Linda Pacheco,Timothy Clay,800 Lumina,2 Lumina,Purchase,800,2,Lumina
TX016,05/06/2023,Auric,Curtis Johnson,Deborah Kerr,108 Auric,22 Auric,Payment,108,22,Auric
TX017,22/01/2023,Auric,Thomas Beck,Chelsea Liu,994 Auric,46 Auric,Payment,994,46,Auric
TX018,31/05/2023,Lumina,Kevin Peters,Laura Phillips,632 Lumina,16 Lumina,Transfer,632,16,Lumina
TX019,09/04/2023,Lumina,Linda Costa,Cassandra Cooke,572 Lumina,34 Lumina,Payment,572,34,Lumina
TX020,23/06/2023,Auric,Donald Jackson,Adam Stanton,124 Auric,31 Auric,Transfer,124,31,Auric
TX021,07/08/2023,Auric,John Daniels,Elizabeth Rodriguez,335 Auric,9 Auric,Purchase,335,9,Auric
TX022,05/02/2023,Zentia,William Brooks,Maria Yang,676 Zentia,46 Zentia,Payment,676,46,Zentia
TX023,09/05/2023,Auric,Kristin Ramirez,Robin Kelly,19 Auric,47 Auric,Transfer,19,47,Auric
TX024,15/04/2023,Auric,Alexis Watson,Alexandra Jordan,61 Auric,9 Auric,Purchase,61,9,Auric
TX025,13/06/2023,Zentia,Breanna Thompson,Robert Hines,720 Zentia,16 Zentia,Purchase,720,16,Zentia
TX026,14/03/2023,Zentia,Lindsey Floyd,Brian Riley,239 Zentia,33 Zentia,Purchase,239,33,Zentia
TX027,15/03/2023,Zentia,Jeanne Todd,Christine Herring,471 Zentia,44 Zentia,Payment,471,44,Zentia
TX028,08/08/2023,Lumina,Julie Barnes,Peter Johnson,706 Lumina,17 Lumina,Payment,706,17,Lumina
TX029,31/05/2023,Lumina,Robert Howell,Karen Miller,534 Lumina,31 Lumina,Purchase,534,31,Lumina
TX030,19/07/2023,Auric,David Johnson,Christopher Escobar,939 Auric,5 Auric,Transfer,939,5,Auric
TX031,19/08/2023,Lumina,David Morris,Linda West,165 Lumina,27 Lumina,Purchase,165,27,Lumina
TX032,08/07/2023,Electra,Jason Murphy,Jodi Ward,355 Electra,15 Electra,Transfer,355,15,Electra
TX033,02/05/2023,Zentia,Andrew Cummings,Jeffery Beck,843 Zentia,29 Zentia,Purchase,843,29,Zentia
TX034,30/01/2023,Zentia,Anthony Wilkins,Ryan Haas,632 Zentia,34 Zentia,Transfer,632,34,Zentia
TX035,16/05/2023,Lumina,Tyler Kirk,Craig Powell,667 Lumina,31 Lumina,Transfer,667,31,Lumina
TX036,27/01/2023,Lumina,Madison Dean,Dean Wallace,92 Lumina,42 Lumina,Purchase,92,42,Lumina
TX037,29/07/2023,Electra,Edward Bell,Michael Mitchell,181 Electra,47 Electra,Payment,181,47,Electra
TX038,12/04/2023,Auric,Derek Frank,Beverly Thomas,83 Auric,10 Auric,Payment,83,10,Auric
TX039,02/02/2023,Auric,Margaret Johnson,Michael King,335 Auric,20 Auric,Purchase,335,20,Auric
TX040,01/01/2023,Electra,Robert Oliver,Cynthia Shea,662 Electra,41 Electra,Purchase,662,41,Electra
TX041,02/08/2023,Zentia,Cory Nelson,Ashley Thomas,712 Zentia,30 Zentia,Transfer,712,30,Zentia
TX042,18/04/2023,Electra,Hannah Munoz,Jessica Smith,526 Electra,19 Electra,Payment,526,19,Electra
TX043,26/08/2023,Zentia,Jennifer Weber,Holly Carter,652 Zentia,18 Zentia,Purchase,652,18,Zentia
TX044,25/08/2023,Lumina,Nicholas Graves,Jonathan Martinez,191 Lumina,15 Lumina,Payment,191,15,Lumina
TX045,03/06/2023,Zentia,Thomas Conway,Kimberly Woodward,368 Zentia,19 Zentia,Transfer,368,19,Zentia
TX046,11/02/2023,Electra,Stacy Valdez,Brandon Herrera,6 Electra,44 Electra,Purchase,6,44,Electra
TX047,20/08/2023,Electra,Kim Johnson,Christine Robinson,682 Electra,5 Electra,Payment,682,5,Electra
TX048,05/04/2023,Zentia,Richard Martin,Kenneth Ali,649 Zentia,22 Zentia,Payment,649,22,Zentia
TX049,08/07/2023,Auric,Kristina Johnson,Colton Mcdowell,883 Auric,21 Auric,Transfer,883,21,Auric
TX050,22/03/2023,Auric,Jackson Norman,Kristin Austin,42 Auric,41 Auric,Transfer,42,41,Auric
TX051,06/01/2023,Auric,Susan Heath,Bill Reyes,154 Auric,8 Auric,Purchase,154,8,Auric
TX052,29/01/2023,Lumina,Katie Brown,Savannah Barron,122 Lumina,46 Lumina,Payment,122,46,Lumina
TX053,09/05/2023,Zentia,Margaret Robinson,Crystal Jordan,147 Zentia,36 Zentia,Payment,147,36,Zentia
TX054,25/05/2023,Electra,James Howard,Jason Hall,539 Electra,25 Electra,Purchase,539,25,Electra
TX055,20/03/2023,Zentia,Jack Gibson,Marcus Oneal,641 Zentia,41 Zentia,Transfer,641,41,Zentia
TX056,22/07/2023,Lumina,Bailey White,Debbie Castillo,637 Lumina,8 Lumina,Purchase,637,8,Lumina
TX057,24/07/2023,Auric,Jessica Molina,Sharon Lowe,704 Auric,32 Auric,Payment,704,32,Auric
TX058,18/02/2023,Auric,Billy Blanchard,Emily Anderson,346 Auric,7 Auric,Purchase,346,7,Auric
TX059,11/06/2023,Zentia,Kevin Gonzales,Carl Brown,609 Zentia,8 Zentia,Payment,609,8,Zentia
TX060,25/03/2023,Auric,Shelby Mercado,Michael Fuentes,112 Auric,19 Auric,Purchase,112,19,Auric
TX061,17/06/2023,Electra,Stephanie Farmer,Caitlin Wade,383 Electra,21 Electra,Transfer,383,21,Electra
TX062,23/03/2023,Zentia,Christopher Henry,Lori Shannon,532 Zentia,29 Zentia,Transfer,532,29,Zentia
TX063,13/02/2023,Electra,Michelle Robertson,Ashley Lowery,528 Electra,3 Electra,Payment,528,3,Electra
TX064,23/03/2023,Zentia,Kimberly Gonzalez,Clarence Hunt,957 Zentia,23 Zentia,Purchase,957,23,Zentia
TX065,23/04/2023,Lumina,Troy Jenkins,Benjamin Sherman,859 Lumina,19 Lumina,Payment,859,19,Lumina
TX066,06/07/2023,Electra,Kimberly Newman,Cynthia Le,942 Electra,49 Electra,Transfer,942,49,Electra
TX067,28/06/2023,Auric,Katherine Patterson,Mary Navarro,512 Auric,9 Auric,Payment,512,9,Auric
TX068,05/04/2023,Electra,Angela Martin,Michael Vazquez,510 Electra,47 Electra,Payment,510,47,Electra
TX069,06/05/2023,Auric,Deborah Sanchez,Jeffrey Hardy,700 Auric,19 Auric,Payment,700,19,Auric
TX070,18/05/2023,Lumina,Paul Stewart,Joan Smith,913 Lumina,45 Lumina,Payment,913,45,Lumina
TX071,04/05/2023,Electra,Jessica Carter,Jessica Dunn,55 Electra,33 Electra,Purchase,55,33,Electra
TX072,16/01/2023,Auric,Jennifer Parker,Bonnie Henry,310 Auric,22 Auric,Payment,310,22,Auric
TX073,18/08/2023,Electra,Cynthia Alexander,Gregory Crawford,177 Electra,15 Electra,Transfer,177,15,Electra
TX074,03/03/2023,Lumina,John Rosales,Dennis Smith,995 Lumina,8 Lumina,Transfer,995,8,Lumina
TX075,09/07/2023,Zentia,Michael Spears,Christopher Ross,204 Zentia,8 Zentia,Purchase,204,8,Zentia
TX076,17/06/2023,Auric,Charles Reed,Sean Cook,375 Auric,42 Auric,Transfer,375,42,Auric
TX077,05/08/2023,Auric,Ryan Phillips,Tanya Montes,763 Auric,27 Auric,Purchase,763,27,Auric
TX078,24/02/2023,Auric,William Jones,Gary Rodriguez,182 Auric,47 Auric,Purchase,182,47,Auric
TX079,03/06/2023,Electra,Bradley Pollard,Matthew Baker,966 Electra,43 Electra,Transfer,966,43,Electra
TX080,22/03/2023,Lumina,Ronald Diaz,Jeremy Duke,405 Lumina,18 Lumina,Purchase,405,18,Lumina
TX081,09/03/2023,Auric,Holly Rogers,Kristopher Navarro,839 Auric,3 Auric,Payment,839,3,Auric
TX082,18/07/2023,Zentia,Julie Fry,Timothy Smith,74 Zentia,33 Zentia,Purchase,74,33,Zentia
TX083,23/03/2023,Auric,Patricia Jimenez,Alison Ward,319 Auric,47 Auric,Purchase,319,47,Auric
TX084,24/04/2023,Lumina,Judith Chapman,Richard Lewis,466 Lumina,16 Lumina,Payment,466,16,Lumina
TX085,27/08/2023,Lumina,Leslie Wilson,Kelly Vargas,172 Lumina,37 Lumina,Purchase,172,37,Lumina
TX086,19/01/2023,Electra,Allison Mendoza,Richard Hendricks,749 Electra,26 Electra,Payment,749,26,Electra
TX087,27/04/2023,Zentia,Casey Peters,Robert Mcclain,438 Zentia,33 Zentia,Transfer,438,33,Zentia
TX088,12/08/2023,Lumina,Christian Jensen,Steven Krause,58 Lumina,30 Lumina,Transfer,58,30,Lumina
TX089,05/08/2023,Zentia,Sean Stevens,Scott Hayden,297 Zentia,43 Zentia,Payment,297,43,Zentia
TX090,10/01/2023,Lumina,Pam Odonnell,Jerry Morgan,572 Lumina,33 Lumina,Purchase,572,33,Lumina
TX091,10/06/2023,Zentia,Meghan Howard,Ashley Johnson,145 Zentia,28 Zentia,Payment,145,28,Zentia
TX092,23/04/2023,Electra,Anne Smith,Crystal Richardson,134 Electra,6 Electra,Transfer,134,6,Electra
